"prtvtcit","euftf","imwbcnt","rlgdgr","stflife","gincdif","hmsacld","edlveit","domicil","hincfel","yrbrn","lrscale"
"CDX","MODERATE","MODERATE","HIGH","HIGH","HIGH","LOW","University edu","Small city","Comfortable","Millennials","RIGHT"
"CSX","HIGH","HIGH","MODERATE","HIGH","HIGH","HIGH","University edu","Countryside","Comfortable","Millennials","LEFT"
"M5S","MODERATE","MODERATE","MODERATE","HIGH","HIGH","HIGH","College edu","Countryside","Comfortable","Millennials","MODERATE"
"M5S","LOW","LOW","LOW","HIGH","HIGH","LOW","Low edu","Small city","Difficult","Boomers","MODERATE"
"CSX","MODERATE","MODERATE","HIGH","HIGH","HIGH","MODERATE","Low edu","Countryside","Coping","Boomers","LEFT"
"CSX","LOW","MODERATE","LOW","HIGH","HIGH","MODERATE","University edu","Big city","Comfortable","Gen X","LEFT"
"CDX","LOW","LOW","HIGH","HIGH","HIGH","LOW","Low edu","Countryside","Difficult","Gen X","RIGHT"
"CSX","LOW","MODERATE","HIGH","HIGH","LOW","LOW","Low edu","Countryside","Coping","Boomers","MODERATE"
"CSX","MODERATE","MODERATE","LOW","MODERATE","HIGH","MODERATE","Low edu","Suburbs","Coping","Gen X","LEFT"
"CDX","LOW","MODERATE","HIGH","HIGH","LOW","LOW","Low edu","Small city","Difficult","Gen X","MODERATE"
"CSX","LOW","MODERATE","HIGH","MODERATE","HIGH","LOW","College edu","Countryside","Coping","Gen X","MODERATE"
"M5S","MODERATE","MODERATE","LOW","MODERATE","MODERATE","HIGH","College edu","Small city","Coping","Gen X","MODERATE"
"M5S","HIGH","MODERATE","HIGH","HIGH","HIGH","HIGH","College edu","Countryside","Coping","Boomers","MODERATE"
"CSX","MODERATE","MODERATE","LOW","HIGH","HIGH","LOW","Low edu","Big city","Coping","Interwar","MODERATE"
"CDX","MODERATE","HIGH","MODERATE","MODERATE","HIGH","MODERATE","Low edu","Countryside","Coping","Interwar","MODERATE"
"CSX","LOW","LOW","LOW","LOW","HIGH","LOW","College edu","Big city","Coping","Millennials","LEFT"
"M5S","LOW","MODERATE","HIGH","HIGH","HIGH","LOW","University edu","Suburbs","Coping","Millennials","MODERATE"
"CSX","MODERATE","HIGH","MODERATE","HIGH","MODERATE","MODERATE","College edu","Small city","Comfortable","Boomers","MODERATE"
"M5S","LOW","LOW","HIGH","MODERATE","HIGH","LOW","Low edu","Big city","Difficult","Millennials","MODERATE"
"M5S","MODERATE","MODERATE","LOW","HIGH","HIGH","LOW","University edu","Small city","Coping","Millennials","MODERATE"
"M5S","LOW","LOW","LOW","HIGH","HIGH","LOW","Low edu","Countryside","Coping","Gen X","LEFT"
"M5S","MODERATE","MODERATE","HIGH","HIGH","HIGH","HIGH","Low edu","Countryside","Difficult","Millennials","RIGHT"
"CDX","MODERATE","LOW","HIGH","MODERATE","HIGH","HIGH","Low edu","Big city","Coping","Interwar","MODERATE"
"CDX","HIGH","LOW","HIGH","HIGH","HIGH","HIGH","University edu","Countryside","Comfortable","Gen X","RIGHT"
"CDX","LOW","MODERATE","HIGH","HIGH","LOW","LOW","College edu","Suburbs","Comfortable","Gen X","RIGHT"
"M5S","HIGH","HIGH","MODERATE","HIGH","HIGH","LOW","University edu","Countryside","Coping","Boomers","MODERATE"
"CDX","MODERATE","MODERATE","MODERATE","MODERATE","HIGH","LOW","Low edu","Countryside","Coping","Interwar","MODERATE"
"CSX","HIGH","MODERATE","LOW","HIGH","HIGH","HIGH","University edu","Suburbs","Comfortable","Millennials","LEFT"
"M5S","MODERATE","MODERATE","MODERATE","HIGH","HIGH","LOW","College edu","Countryside","Coping","Gen X","MODERATE"
"M5S","MODERATE","MODERATE","MODERATE","HIGH","HIGH","HIGH","Low edu","Small city","Coping","Boomers","RIGHT"
"CSX","HIGH","MODERATE","MODERATE","HIGH","MODERATE","HIGH","College edu","Countryside","Coping","Gen X","LEFT"
"CDX","MODERATE","MODERATE","MODERATE","HIGH","HIGH","HIGH","University edu","Big city","Comfortable","Gen X","RIGHT"
"CDX","MODERATE","MODERATE","LOW","MODERATE","HIGH","MODERATE","Low edu","Big city","Coping","Boomers","RIGHT"
"CSX","HIGH","HIGH","MODERATE","HIGH","HIGH","MODERATE","University edu","Small city","Comfortable","Gen X","LEFT"
"CDX","LOW","LOW","HIGH","HIGH","HIGH","LOW","College edu","Countryside","Difficult","Millennials","RIGHT"
"CDX","MODERATE","LOW","LOW","HIGH","HIGH","MODERATE","College edu","Big city","Coping","Interwar","RIGHT"
"CSX","MODERATE","MODERATE","HIGH","MODERATE","HIGH","LOW","Low edu","Countryside","Coping","Interwar","MODERATE"
"CDX","HIGH","LOW","MODERATE","HIGH","LOW","MODERATE","University edu","Countryside","Comfortable","Gen X","RIGHT"
"CSX","HIGH","MODERATE","HIGH","HIGH","LOW","LOW","College edu","Suburbs","Coping","Gen X","MODERATE"
"M5S","HIGH","HIGH","MODERATE","HIGH","MODERATE","MODERATE","College edu","Big city","Coping","Gen X","MODERATE"
"M5S","LOW","LOW","MODERATE","HIGH","HIGH","LOW","College edu","Countryside","Comfortable","Millennials","RIGHT"
"CDX","LOW","LOW","HIGH","HIGH","HIGH","LOW","Low edu","Small city","Coping","Interwar","MODERATE"
"M5S","MODERATE","MODERATE","HIGH","MODERATE","MODERATE","LOW","Low edu","Big city","Difficult","Millennials","MODERATE"
"CSX","MODERATE","HIGH","MODERATE","LOW","MODERATE","HIGH","Low edu","Big city","Coping","Millennials","LEFT"
"M5S","LOW","MODERATE","HIGH","LOW","HIGH","HIGH","Low edu","Big city","Comfortable","Boomers","LEFT"
"CDX","HIGH","MODERATE","MODERATE","HIGH","HIGH","LOW","College edu","Small city","Coping","Interwar","RIGHT"
"CDX","MODERATE","LOW","MODERATE","MODERATE","HIGH","MODERATE","College edu","Small city","Coping","Gen X","MODERATE"
"CDX","MODERATE","LOW","HIGH","HIGH","HIGH","HIGH","College edu","Small city","Comfortable","Millennials","RIGHT"
"CDX","HIGH","HIGH","HIGH","HIGH","MODERATE","HIGH","University edu","Small city","Comfortable","Gen X","RIGHT"
"CDX","LOW","MODERATE","MODERATE","HIGH","HIGH","HIGH","Low edu","Countryside","Coping","Interwar","RIGHT"
"CDX","LOW","LOW","MODERATE","HIGH","HIGH","HIGH","Low edu","Countryside","Difficult","Boomers","MODERATE"
